Week,Date,PRICE 12PK,PRICE_12PK.Ln,PRICE 18PK,PRICE_18PK.Ln,PRICE 30PK,PRICE_30PK.Ln,CASES 12PK,CASES_12PK.Ln,CASES 18PK,CASES_18PK.Ln,CASES_18PK.Ln.Loglog.model,CASES_18PK.Ln.Loglog.model.Resid,CASES_18PK.Ln.Loglog.real.errors,CASES 30PK,CASES_30PK.Ln
1,1/1/2003,19.98,2.99,14.10,2.65,15.19,2.72,223.5,5.4,439.0,6.1,6.088,-0.004,-1.584,55.00,4.01
2,1/8/2003,19.98,2.99,18.65,2.93,15.19,2.72,215.0,5.4,98.0,4.6,4.213,0.372,30.452,66.75,4.20
3,1/15/2003,19.98,2.99,18.65,2.93,13.87,2.63,227.5,5.4,70.0,4.2,4.213,0.036,2.452,242.00,5.49
4,1/22/2003,19.98,2.99,18.65,2.93,12.83,2.55,244.5,5.5,52.0,4.0,4.213,-0.262,-15.548,488.50,6.19
5,1/29/2003,19.98,2.99,18.65,2.93,13.16,2.58,313.5,5.7,64.0,4.2,4.213,-0.054,-3.548,308.75,5.73
6,2/5/2003,19.98,2.99,18.65,2.93,15.19,2.72,279.0,5.6,72.0,4.3,4.213,0.064,4.452,111.75,4.72
7,2/12/2003,19.98,2.99,18.65,2.93,13.92,2.63,238.0,5.5,47.0,3.9,4.213,-0.363,-20.548,252.50,5.53
8,2/19/2003,20.10,3.00,18.73,2.93,14.42,2.67,315.5,5.8,85.0,4.4,4.184,0.259,19.363,221.25,5.40
9,2/26/2003,20.12,3.00,18.75,2.93,13.83,2.63,217.0,5.4,59.0,4.1,4.177,-0.099,-6.169,245.25,5.50
10,3/5/2003,20.13,3.00,18.75,2.93,14.50,2.67,209.5,5.3,63.0,4.1,4.177,-0.034,-2.169,148.50,5.00
11,3/12/2003,20.14,3.00,18.75,2.93,13.87,2.63,227.0,5.4,57.0,4.0,4.177,-0.134,-8.169,229.75,5.44
12,3/19/2003,20.12,3.00,18.75,2.93,13.64,2.61,216.5,5.4,54.0,4.0,4.177,-0.188,-11.169,312.00,5.74
13,3/26/2003,20.12,3.00,13.87,2.63,14.31,2.66,169.0,5.1,404.0,6.0,6.198,-0.197,-87.951,96.75,4.57
14,4/2/2003,20.13,3.00,14.27,2.66,13.85,2.63,178.0,5.2,380.0,5.9,6.008,-0.068,-26.564,123.25,4.81
15,4/9/2003,20.14,3.00,18.76,2.93,14.20,2.65,301.5,5.7,65.0,4.2,4.173,0.001,0.063,200.50,5.30
16,4/16/2003,20.14,3.00,18.77,2.93,13.64,2.61,266.5,5.6,40.0,3.7,4.170,-0.481,-24.705,359.75,5.89
17,4/23/2003,20.13,3.00,13.87,2.63,14.33,2.66,182.5,5.2,456.0,6.1,6.198,-0.076,-35.951,113.50,4.73
18,4/30/2003,20.13,3.00,14.14,2.65,13.14,2.58,159.0,5.1,176.0,5.2,6.069,-0.899,-256.294,136.50,4.92
19,5/7/2003,20.13,3.00,18.76,2.93,13.81,2.63,285.5,5.7,61.0,4.1,4.173,-0.063,-3.937,225.50,5.42
20,5/14/2003,20.13,3.00,18.72,2.93,15.19,2.72,360.0,5.9,91.0,4.5,4.188,0.323,25.127,122.25,4.81
21,5/21/2003,20.13,3.00,18.76,2.93,13.13,2.57,263.0,5.6,59.0,4.1,4.173,-0.096,-5.937,443.75,6.10
22,5/28/2003,19.18,2.95,18.76,2.93,13.63,2.61,443.5,6.1,83.0,4.4,4.173,0.245,18.063,322.75,5.78
23,6/4/2003,14.78,2.69,18.74,2.93,15.19,2.72,1101.5,7.0,41.0,3.7,4.181,-0.467,-24.403,53.00,3.97
24,6/11/2003,16.04,2.78,18.75,2.93,13.89,2.63,814.0,6.7,47.0,3.9,4.177,-0.327,-18.169,140.75,4.95
25,6/18/2003,20.12,3.00,18.75,2.93,14.28,2.66,365.0,5.9,84.0,4.4,4.177,0.254,18.831,210.75,5.35
26,6/25/2003,19.75,2.98,18.75,2.93,15.19,2.72,510.0,6.2,85.0,4.4,4.177,0.266,19.831,110.50,4.71
27,7/2/2003,19.65,2.98,18.75,2.93,13.12,2.57,580.5,6.4,116.0,4.8,4.177,0.577,50.831,568.25,6.34
28,7/9/2003,19.69,2.98,13.79,2.62,13.78,2.62,251.0,5.5,544.0,6.3,6.237,0.062,32.594,115.50,4.75
29,7/16/2003,20.12,3.00,13.49,2.60,15.19,2.72,237.0,5.5,890.0,6.8,6.385,0.407,297.325,58.75,4.07
30,7/23/2003,20.12,3.00,14.89,2.70,15.19,2.72,302.5,5.7,371.0,5.9,5.723,0.194,65.312,77.25,4.35
31,7/30/2003,20.13,3.00,13.94,2.63,15.19,2.72,229.5,5.4,557.0,6.3,6.165,0.158,81.378,66.25,4.19
32,8/6/2003,20.14,3.00,13.67,2.62,15.19,2.72,188.5,5.2,775.0,6.7,6.296,0.357,232.728,50.00,3.91
33,8/13/2003,15.14,2.72,14.43,2.67,15.19,2.72,795.5,6.7,236.0,5.5,5.933,-0.469,-141.276,46.50,3.84
34,8/20/2003,14.33,2.66,18.75,2.93,15.19,2.72,1556.5,7.4,43.0,3.8,4.177,-0.416,-22.169,65.75,4.19
35,8/27/2003,16.24,2.79,18.22,2.90,13.14,2.58,807.5,6.7,63.0,4.1,4.369,-0.226,-15.985,252.75,5.53
36,9/3/2003,19.93,2.99,14.06,2.64,13.45,2.60,243.0,5.5,469.0,6.2,6.107,0.043,19.943,179.00,5.19
37,9/10/2003,21.06,3.05,14.43,2.67,13.00,2.56,201.5,5.3,335.0,5.8,5.933,-0.119,-42.276,226.25,5.42
38,9/17/2003,21.19,3.05,19.48,2.97,13.60,2.61,294.0,5.7,75.0,4.3,3.921,0.397,24.555,288.50,5.66
39,9/24/2003,21.23,3.06,15.15,2.72,14.46,2.67,220.5,5.4,461.0,6.1,5.606,0.527,188.812,114.25,4.74
40,10/1/2003,20.12,3.00,13.79,2.62,14.94,2.70,255.5,5.5,817.0,6.7,6.237,0.468,305.594,70.00,4.25
41,10/8/2003,14.73,2.69,14.31,2.66,15.19,2.72,920.5,6.8,200.0,5.3,5.989,-0.691,-199.004,47.75,3.87
42,10/15/2003,14.57,2.68,19.50,2.97,15.19,2.72,730.0,6.6,32.0,3.5,3.914,-0.448,-18.099,98.75,4.59
43,10/22/2003,15.94,2.77,13.85,2.63,15.19,2.72,262.5,5.6,460.0,6.1,6.208,-0.077,-36.734,77.00,4.34
44,10/29/2003,20.70,3.03,14.23,2.66,13.43,2.60,209.5,5.3,751.0,6.6,6.027,0.595,336.711,160.50,5.08
45,11/5/2003,19.57,2.97,19.31,2.96,14.37,2.67,283.0,5.6,70.0,4.2,3.980,0.269,16.501,143.50,4.97
46,11/12/2003,19.60,2.98,19.29,2.96,15.19,2.72,262.5,5.6,80.0,4.4,3.987,0.395,26.128,133.00,4.89
47,11/19/2003,19.94,2.99,13.76,2.62,15.19,2.72,310.0,5.7,523.0,6.3,6.252,0.008,4.071,68.75,4.23
48,11/26/2003,21.28,3.06,13.45,2.60,15.19,2.72,278.5,5.6,741.0,6.6,6.405,0.203,136.406,81.75,4.40
49,12/3/2003,14.56,2.68,15.13,2.72,15.19,2.72,741.5,6.6,130.0,4.9,5.615,-0.748,-144.610,56.25,4.03
50,12/10/2003,14.39,2.67,19.43,2.97,15.19,2.72,1316.0,7.2,69.0,4.2,3.938,0.296,17.678,68.75,4.23
51,12/17/2003,16.81,2.82,13.26,2.58,15.19,2.72,449.0,6.1,493.0,6.2,6.500,-0.299,-172.111,49.25,3.90
52,12/24/2003,19.86,2.988707659,13.92,2.633326655,15.19,2.72,505.0,6.2,814.0,6.7,6.174,0.528,333.777,76.50,4.34
